variable,importancia
area_worst,0.16862564748579661
concave_points_worst,0.1530589597132672
perimeter_worst,0.11696545085092579
radius_worst,0.11318470356292781
concave_points_mean,0.0829571819437202
area_mean,0.058599566593874136
concavity_mean,0.05282030833764621
area_se,0.03040844849724525
concavity_worst,0.03036920941457482
perimeter_mean,0.029675286805801962
radius_mean,0.02519764556464419
compactness_worst,0.022306753214142504
perimeter_se,0.01961195420220197
texture_worst,0.016982972443460243
texture_mean,0.016314543059574957
smoothness_worst,0.010395631150676082
compactness_mean,0.008779139474508318
radius_se,0.007479566911270783
symmetry_worst,0.006848836648842076
fractal_dimension_worst,0.005350097119074589
concavity_se,0.004444080794404808
smoothness_mean,0.0038664726033799434
fractal_dimension_mean,0.003549225775786149
symmetry_mean,0.0029684450371185744
texture_se,0.002413068532012656
symmetry_se,0.0023861612847904732
smoothness_se,0.0015285443736722678
concave_points_se,0.0013480796726098089
fractal_dimension_se,0.001036662007504492
compactness_se,0.0005273569245451605
