componente,varianza_explicada,varianza_acumulada
PC1,0.452442766394079,0.452442766394079
PC2,0.1905454749757953,0.6429882413698743
PC3,0.09038950650299712,0.7333777478728715
PC4,0.06653927018239437,0.7999170180552658
PC5,0.05088995188134685,0.8508069699366126
PC6,0.04140268439757924,0.8922096543341919
PC7,0.021857114890866256,0.9140667692250581
PC8,0.015516146096376875,0.929582915321435
PC9,0.013968019366216741,0.9435509346876517
PC10,0.010632671464111135,0.9541836061517629
PC11,0.009569373376385045,0.963752979528148
PC12,0.008217238100795827,0.9719702176289438
PC13,0.006875825655429095,0.9788460432843729
PC14,0.0053340042924558805,0.9841800475768288
PC15,0.003209860997333404,0.9873899085741622
PC16,0.0024667551119769387,0.9898566636861391
PC17,0.002001407458162395,0.9918580711443015
PC18,0.0016882768808401552,0.9935463480251416
PC19,0.001420472259562434,0.9949668202847041
PC20,0.0009999907380092538,0.9959668110227133
PC21,0.0008969843305019929,0.9968637953532153
PC22,0.0008036456922827269,0.9976674410454981
PC23,0.0007734226773399488,0.998440863722838
PC24,0.0005924653963988851,0.9990333291192369
PC25,0.00039252538395709394,0.999425854503194
PC26,0.00026274869143574697,0.9996886031946297
PC27,0.00023321735168726994,0.999921820546317
PC28,5.2417116119981e-05,0.999974237662437
PC29,2.1211331939013268e-05,0.999995448994376
PC30,4.551005624213425e-06,1.0000000000000002
