modelo,fold_repetition,accuracy,precision,recall_sensibilidad,f1,roc_auc
Dummy,1,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,2,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,3,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,4,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,5,0.6283185840707964,0.0,0.0,0.0,0.5
Dummy,6,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,7,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,8,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,9,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,10,0.6283185840707964,0.0,0.0,0.0,0.5
Dummy,11,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,12,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,13,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,14,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,15,0.6283185840707964,0.0,0.0,0.0,0.5
Dummy,16,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,17,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,18,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,19,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,20,0.6283185840707964,0.0,0.0,0.0,0.5
Dummy,21,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,22,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,23,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,24,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,25,0.6283185840707964,0.0,0.0,0.0,0.5
Dummy,26,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,27,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,28,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,29,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,30,0.6283185840707964,0.0,0.0,0.0,0.5
Dummy,31,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,32,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,33,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,34,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,35,0.6283185840707964,0.0,0.0,0.0,0.5
Dummy,36,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,37,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,38,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,39,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,40,0.6283185840707964,0.0,0.0,0.0,0.5
Dummy,41,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,42,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,43,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,44,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,45,0.6283185840707964,0.0,0.0,0.0,0.5
Dummy,46,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,47,0.6228070175438597,0.0,0.0,0.0,0.5
Dummy,48,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,49,0.631578947368421,0.0,0.0,0.0,0.5
Dummy,50,0.6283185840707964,0.0,0.0,0.0,0.5
Logistic Regression,1,0.9736842105263158,1.0,0.9302325581395349,0.963855421686747,0.9908286930887652
Logistic Regression,2,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809523,0.9957418932197838
Logistic Regression,3,0.9912280701754386,0.9767441860465116,1.0,0.9882352941176471,1.0
Logistic Regression,4,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9950396825396826
Logistic Regression,5,0.9911504424778761,1.0,0.9761904761904762,0.9879518072289156,0.9963112005365526
Logistic Regression,6,0.9385964912280702,0.9285714285714286,0.9069767441860465,0.9176470588235294,0.9855879462823451
Logistic Regression,7,0.956140350877193,0.975,0.9069767441860465,0.9397590361445783,0.9777268260727153
Logistic Regression,8,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9990079365079365
Logistic Regression,9,0.9912280701754386,0.9767441860465116,1.0,0.9882352941176471,1.0
Logistic Regression,10,1.0,1.0,1.0,1.0,1.0
Logistic Regression,11,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809523,0.9941041598427776
Logistic Regression,12,0.9824561403508771,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9970520799213888
Logistic Regression,13,0.956140350877193,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9755291005291005
Logistic Regression,14,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9970238095238095
Logistic Regression,15,0.9823008849557522,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9989939637826962
Logistic Regression,16,0.9824561403508771,1.0,0.9534883720930233,0.9761904761904762,0.9914837864395677
Logistic Regression,17,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809523,0.9937766131673763
Logistic Regression,18,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9990079365079365
Logistic Regression,19,0.9824561403508771,0.9545454545454546,1.0,0.9767441860465116,0.9993386243386243
Logistic Regression,20,0.9734513274336283,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9963112005365526
Logistic Regression,21,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9901735997379626
Logistic Regression,22,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9960694398951851
Logistic Regression,23,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9966931216931216
Logistic Regression,24,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9877645502645502
Logistic Regression,25,0.9734513274336283,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9983232729711603
Logistic Regression,26,0.9912280701754386,1.0,0.9767441860465116,0.9882352941176471,0.9901735997379626
Logistic Regression,27,1.0,1.0,1.0,1.0,1.0
Logistic Regression,28,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9993386243386243
Logistic Regression,29,0.9473684210526315,1.0,0.8571428571428571,0.9230769230769231,0.9874338624338626
Logistic Regression,30,0.9911504424778761,0.9767441860465116,1.0,0.9882352941176471,0.9993293091884642
Logistic Regression,31,0.9824561403508771,1.0,0.9534883720930233,0.9761904761904762,0.990501146413364
Logistic Regression,32,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.9983622666229939
Logistic Regression,33,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9996693121693122
Logistic Regression,34,0.9912280701754386,0.9767441860465116,1.0,0.9882352941176471,1.0
Logistic Regression,35,0.9469026548672567,1.0,0.8571428571428571,0.9230769230769231,0.9902749832327297
Logistic Regression,36,0.9824561403508771,1.0,0.9534883720930233,0.9761904761904762,0.9914837864395676
Logistic Regression,37,0.9912280701754386,1.0,0.9767441860465116,0.9882352941176471,0.9983622666229938
Logistic Regression,38,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9973544973544973
Logistic Regression,39,0.9912280701754386,0.9767441860465116,1.0,0.9882352941176471,0.9996693121693122
Logistic Regression,40,0.9557522123893806,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.994634473507713
Logistic Regression,41,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9970520799213888
Logistic Regression,42,1.0,1.0,1.0,1.0,1.0
Logistic Regression,43,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9983465608465609
