,diagnosis_binary
concave_points_worst,0.7935660171412694
perimeter_worst,0.7829141371737595
concave_points_mean,0.7766138400204369
radius_worst,0.7764537785950396
perimeter_mean,0.7426355297258334
area_worst,0.7338250349210502
radius_mean,0.7300285113754562
area_mean,0.7089838365853902
concavity_mean,0.6963597071719052
concavity_worst,0.6596102103692332
compactness_mean,0.5965336775082527
compactness_worst,0.5909982378417918
radius_se,0.5671338208247175
perimeter_se,0.5561407034314831
area_se,0.5482359402780241
texture_worst,0.4569028213967985
smoothness_worst,0.4214648610664026
symmetry_worst,0.4162943110486197
texture_mean,0.4151852998452047
concave_points_se,0.4080423327165051
smoothness_mean,0.35855996508593335
symmetry_mean,0.33049855426254693
fractal_dimension_worst,0.3238721887208247
compactness_se,0.2929992442488586
concavity_se,0.25372976598083075
fractal_dimension_se,0.07797241739025584
symmetry_se,-0.006521755870647812
texture_se,-0.008303332973877052
fractal_dimension_mean,-0.012837602698431852
smoothness_se,-0.06701601057948753
